Season,Weight,Bracket,Round,Winner,Loser,Score,Decision Type
1931,145,1,3,10392,10393,Fall 4:50,2
1931,145,1,4,8975,10392,Fall 2:15,2
1931,145,1,4,9204,10391,TA 5:56,1
1931,145,1,5,8975,9204,TA 1:48,1
1931,155,0,10,10375,10369,TA 1:29,1
1931,155,0,11,9091,10365,TA 1:05,1
1931,155,0,11,10375,9057,TA 1:30,1
1931,155,0,12,9091,10375,Med FFT,3
1931,155,0,15,8982,10375,TA 1:48,1
1931,155,1,2,9173,10375,RD,1
1931,155,1,2,10365,10367,TA 7:40,1
1931,155,1,2,10366,10368,Fall 1:35,2
1931,155,1,2,10369,10374,TA 6:58,1
1931,155,1,3,8982,9091,TA 4:02,1
1931,155,1,3,9057,10370,Fall 3:14,2
1931,155,1,3,9173,10369,TA 6:15,1
1931,155,1,3,10365,10366,TA 5:16,1
1931,155,1,4,8982,10365,TA 9:38,1
1931,155,1,4,9173,9057,TA 3:04,1
1931,155,1,5,9173,8982,TA 3:35,1
1931,165,0,11,8959,10372,TA 3:13,1
1931,165,0,15,8959,9000,TA 0:24,1
1931,165,1,3,8959,9931,Fall 7:00,2
1931,165,1,3,9199,10372,TA 4:35,1
1931,165,1,3,10371,9932,Fall 2:30,2
1931,165,1,4,9000,10371,TA 0:56 OT,1
1931,165,1,4,9199,8959,Fall 7:25,2
1931,165,1,5,9199,9000,Fall 4:25,2
1931,175,0,12,9942,10373,Med FFT,3
1931,175,0,15,9009,10373,Fall 4:30,2
1931,175,1,4,9009,9942,Fall 9:34,2
1931,175,1,4,9144,10373,TA 9:19,1
1931,175,1,5,9144,9009,TA 3:52,1
1931,UNL,0,11,8976,10359,Med FFT,3
1931,UNL,0,11,10356,10357,TA 1:18,1
1931,UNL,0,12,8976,10356,TA 2:49,1
1931,UNL,0,15,8885,10356,Fall 5:53,2
1931,UNL,1,3,8885,10359,Fall 1:30,2
1931,UNL,1,3,8976,10358,TA 3:16,1
1931,UNL,1,3,9098,10356,Fall 1:55,2
1931,UNL,1,4,8885,8976,Fall 1:15,2
1931,UNL,1,4,9098,10357,Fall 3:00,2
1931,UNL,1,5,9098,8885,Fall 4:30,2
1932,123,0,15,9180,10362,Fall,2
1932,123,1,2,8909,10363,TA 8:41,1
1932,123,1,2,10406,10420,Fall 5:10,2
1932,123,1,2,10416,10415,Fall 4:15,2
1932,123,1,2,10417,10418,TA 1:35 OT,1
1932,123,1,3,8909,10416,TA 5:10,1
1932,123,1,3,9180,10414,DFT,3
1932,123,1,3,10362,10419,Fall 2:35,2
1932,123,1,3,10406,10417,TA 4:06,1
1932,123,1,4,8909,9180,TA,1
1932,123,1,4,10362,10406,DFT,3
1932,123,1,5,8909,10362,Fall 9:06,2
1932,134,0,11,9184,9918,,1
1932,134,0,15,9184,8868,TA,1
1932,134,1,2,8868,8895,TA 6:55,1
1932,134,1,2,9184,10380,TA 4:46,1
1932,134,1,2,9913,10425,Fall 4:00,2
1932,134,1,2,10424,10423,Fall 3:00,2
1932,134,1,3,8868,10424,Fall 6:55,2
1932,134,1,3,8923,9918,TA 8:30,1
1932,134,1,3,9184,9913,TA 4:26,1
1932,134,1,3,10422,10421,TA 3:45,1
1932,134,1,4,8868,10422,Dec,1
1932,134,1,4,8923,9184,TA OT,1
1932,134,1,5,8923,8868,TA,1
1932,145,0,10,8931,9249,,1
1932,145,0,11,8931,10391,,1
1932,145,0,15,8931,9928,TA,1
1932,145,1,2,8931,9162,DFT 3:20,3
1932,145,1,2,9121,9249,Fall 0:16,2
1932,145,1,2,10426,10427,TA 3:20,1
1932,145,1,3,9121,8931,Fall 9:17,2
1932,145,1,3,9928,10429,TA 4:05,1
1932,145,1,3,10391,10081,Fall 3:34,2
1932,145,1,3,10428,10426,TA 6:10,1
1932,145,1,4,9121,10391,Fall 5:50,2
1932,145,1,4,9928,10428,TA OT,1
1932,145,1,5,9121,9928,TA OT,1
1932,158,0,15,9057,8965,TA,1
1932,158,1,2,8863,10442,Fall 9:09,2
1932,158,1,2,8965,8998,TA 4:24,1
1932,158,1,2,9009,10439,Fall 13:53,2
1932,158,1,2,9057,10441,Fall 11:15,2
1932,158,1,2,9936,10440,Fall 4:35,2
1932,158,1,2,10444,10443,Fall 5:59,2
1932,158,1,3,8863,10444,Fall 1:26,2
1932,158,1,3,8965,10445,Fall 5:30,2
1932,158,1,3,9009,9949,TA,1
1932,158,1,3,9057,9936,TA,1
1932,158,1,4,8965,8863,TA,1
1932,158,1,4,9009,9057,Fall 3:45,2
1932,158,1,5,9009,8965,TA,1
1932,174,0,10,8893,10436,,1
1932,174,0,11,8893,9954,,1
1932,174,0,11,8939,10434,,1
1932,174,0,12,8939,8893,TA,1
1932,174,0,15,9173,8893,TA,1
1932,174,1,2,8939,10433,TA 2:01,1
1932,174,1,2,8959,8893,Fall 3:55,2
1932,174,1,2,9942,10435,Fall 5:25,2
1932,174,1,2,10434,9237,TA 1:05 OT,1
1932,174,1,2,10436,10437,TA 2:31 OT,1
1932,174,1,3,8959,10436,Fall 3:45,2
1932,174,1,3,9173,8939,TA,1
1932,174,1,3,9954,10438,Fall 6:54,2
1932,174,1,3,10434,9942,Fall 7:20,2
1932,174,1,4,8959,9954,TA,1
1932,174,1,4,9173,10434,TA OT,1
1932,174,1,5,8959,9173,TA,1
1932,191,0,11,8935,10432,,1
1932,191,0,11,10431,10430,,1
1932,191,0,12,8935,10431,Med FFT,3
1932,191,0,12,9251,10431,TA,1
1932,191,1,3,9105,10430,TA,1
1932,191,1,3,9251,8935,Fall 3:02,2
1932,191,1,3,10431,10402,TA,1
1932,191,1,4,9105,10431,Fall 9:30,2
1932,191,1,4,9251,10432,Fall 9:48,2
1932,191,1,5,9105,9251,Fall 7:56,2
1932,UNL,0,11,8972,8936,,1
1932,UNL,0,15,8972,9073,,1
1932,UNL,1,3,8885,8945,Fall 2:12,2
1932,UNL,1,3,9098,8972,TA,1
1932,UNL,1,4,9073,8885,RD,1
1932,UNL,1,4,9098,8936,Fall 10:34,2
1932,UNL,1,5,9098,9073,TA,1
1933,118,0,11,8997,9904,Dec,1
1933,118,0,11,9902,9901,Dec,1
1933,118,0,12,8997,9902,Dec,1
1933,118,0,15,8909,9902,Dec,1
1933,118,1,3,8909,9904,Fall 4:45,2
1933,118,1,3,8997,9903,Fall 7:15,2
1933,118,1,3,9181,9902,TA 9:33,1
1933,118,1,3,9901,9911,Fall 7:28,2
1933,118,1,4,8909,8997,TA 9:04,1
1933,118,1,4,9181,9901,TA 9:09,1
1933,118,1,5,9181,8909,TA 6:09,1
1933,126,0,10,9909,9957,Med FFT,3
1933,126,0,11,8926,9905,Med FFT,3
1933,126,0,11,9910,9909,Dec,1
1933,126,0,12,8926,9910,Dec,1
1933,126,0,15,8895,9910,Dec,1
1933,126,1,2,8926,9906,Fall 5:40,2
1933,126,1,2,9153,9909,Fall 7:07,2
1933,126,1,2,9908,9907,TA 8:30,1
1933,126,1,3,8895,9905,Fall 5:18,2
1933,126,1,3,8926,9908,Fall 7:00,2
1933,126,1,3,9153,9957,DFT,3
1933,126,1,3,9910,9912,Fall 4:47,2
1933,126,1,4,8895,8926,Fall 7:58,2
1933,126,1,4,9153,9910,TA 6:01,1
1933,126,1,5,9153,8895,Fall 3:40,2
1933,135,0,10,8879,9958,Dec,1
1933,135,0,11,8879,9921,Dec,1
1933,135,0,15,8879,8882,Fall 4:56,2
1933,135,1,1,9918,9917,Fall,2
1933,135,1,2,8882,9918,TA 3:29,1
1933,135,1,2,8928,8879,TA 7:28,1
1933,135,1,2,9248,9131,Dec OT,1
1933,135,1,2,9913,9914,Dec,1
1933,135,1,2,9915,9916,Fall 5:56,2
1933,135,1,2,9920,9919,Fall 5:47,2
1933,135,1,2,9921,9923,TA 7:42,1
1933,135,1,2,9958,9922,Fall 3:38,2
1933,135,1,3,8882,9915,TA 3:29,1
1933,135,1,3,8928,9958,TA 9:25,1
1933,135,1,3,9913,9248,Dec,1
1933,135,1,3,9921,9920,Fall 1:47,2
1933,135,1,4,8882,9913,TA 5:35,1
1933,135,1,4,8928,9921,TA 4:56,1
1933,135,1,5,8928,8882,Fall 7:06,2
1933,145,0,11,8931,9925,Dec,1
1933,145,0,12,8931,8989,Med FFT,3
1933,145,0,15,9249,8989,Dec,1
1933,145,1,2,8931,9926,Dec,1
1933,145,1,3,8989,9928,Dec,1
1933,145,1,3,9162,9927,TA 7:27,1
1933,145,1,3,9249,8931,TA 6:31,1
1933,145,1,3,9925,9924,TA 4:18,1
1933,145,1,4,9162,8989,Dec,1
1933,145,1,4,9249,9925,Dec,1
1933,145,1,5,9162,9249,Fall 12:12,2
1933,155,0,11,9260,9936,Dec,1
1933,155,0,15,9260,8994,Dec,1
1933,155,1,2,9936,9937,TA 1:00 OT,1
1933,155,1,2,9939,9938,Fall 7:23,2
1933,155,1,3,8958,9936,TA 6:11,1
1933,155,1,3,8994,9941,Dec OT,1
1933,155,1,3,9260,9935,TA 5:10,1
1933,155,1,3,9940,9939,TA 3:42,1
1933,155,1,4,8958,9260,Fall 0:48,2
1933,155,1,4,8994,9940,Dec,1
1933,155,1,5,8958,8994,TA 7:00,1
1933,165,0,11,8998,9929,Dec,1
1933,165,0,15,8998,9237,Dec,1
1933,165,1,2,9115,9930,Fall 3:47,2
1933,165,1,2,9237,9931,Fall 4:06,2
1933,165,1,3,8965,9929,TA 4:26,1
1933,165,1,3,8998,9115,Fall 8:40,2
1933,165,1,3,9237,9932,Fall 8:57,2
1933,165,1,3,9933,9934,Fall 4:00,2
1933,165,1,4,8965,8998,Fall 9:00,2
1933,165,1,4,9237,9933,Dec,1
1933,165,1,5,8965,9237,Fall 8:46,2
1933,175,0,10,8944,9945,Dec,1
1933,175,0,11,8944,9942,Dec,1
1933,175,0,15,8944,9151,Dec,1
1933,175,1,2,8944,9944,Dec,1
1933,175,1,2,8959,9945,Fall 3:01,2
