Season,Weight,Wrestler Number,Bracket Position,Consolation Position,Seed,Place
1935,135,9975,1,,,
1935,135,9976,3,,,
1935,135,9977,5,,,
1935,135,9978,7,,,
1935,135,9979,9,,,
1935,135,9980,11,,,
1935,135,9912,13,,,
1935,135,9184,15,,,2
1935,135,9981,17,,,
1935,135,9131,19,,,1
1935,135,9982,21,,,
1935,135,9984,23,,,
1935,135,9985,25,,,
1935,135,9986,27,,,
1935,135,9240,29,,,3
1935,135,9987,31,,,
1935,145,9989,1,,,
1935,145,9988,3,,,
1935,145,9990,5,,,
1935,145,9991,7,,,
1935,145,9992,9,,,
1935,145,9993,10,,,
1935,145,8948,11,,,
1935,145,9241,12,,,
1935,145,9994,13,,,
1935,145,9995,14,,,
1935,145,9996,15,,,
1935,145,8905,16,,,3
1935,145,8846,17,,,2
1935,145,9997,18,,,
1935,145,9998,19,,,
1935,145,9032,20,,,
1935,145,9999,21,,,
1935,145,9124,22,,,1
1935,145,10000,23,,,
1935,145,10001,25,,,
1935,145,10002,27,,,
1935,145,10003,29,,,
1935,145,10004,31,,,
1935,155,10007,1,,,
1935,155,10009,3,,,
1935,155,10005,5,,,
1935,155,10008,7,,,
1935,155,10010,9,,,
1935,155,10006,11,,,
1935,155,8867,13,,,2
1935,155,10011,14,,,
1935,155,10012,15,,,
1935,155,9166,16,,,1
1935,155,10030,17,,,
1935,155,10031,18,,,
1935,155,10032,19,,,
1935,155,9118,20,,,3
1935,155,10033,21,,,
1935,155,10034,23,,,
1935,155,10035,25,,,
1935,155,10036,27,,,
1935,155,10037,29,,,
1935,155,10038,31,,,
1935,165,10039,1,,,
1935,165,10040,3,,,
1935,165,10041,5,,,
1935,165,8949,7,,,2
1935,165,10043,9,,,
1935,165,10044,11,,,
1935,165,9212,13,,,1
1935,165,10045,14,,,
1935,165,10046,15,,,
1935,165,9933,16,,,
1935,165,9129,17,,,3
1935,165,10047,18,,,
1935,165,9143,19,,,
1935,165,10042,20,,,
1935,165,10048,21,,,
1935,165,10053,23,,,
1935,165,10049,25,,,
1935,165,10050,27,,,
1935,165,10051,29,,,
1935,165,10052,31,,,
1935,175,10020,1,,,
1935,175,10021,3,,,
1935,175,10022,5,,,
1935,175,9245,7,,,3
1935,175,10023,9,,,
1935,175,10024,11,,,
1935,175,10025,13,,,
1935,175,9948,15,,,
1935,175,9185,17,,,2
1935,175,10026,19,,,
1935,175,10027,21,,,
1935,175,10019,23,,,
1935,175,9945,25,,,
1935,175,10028,27,,,
1935,175,8915,29,,,1
1935,175,10029,31,,,
1935,UNL,10013,1,,,
1935,UNL,10014,5,,,
1935,UNL,8937,9,,,1
1935,UNL,8999,13,,,2
1935,UNL,9956,15,,,
1935,UNL,10015,17,,,
1935,UNL,10016,19,,,
1935,UNL,10017,21,,,
1935,UNL,9261,25,,,3
1935,UNL,10018,29,,,
1936,123,9247,1,,,3
1936,123,9966,2,,,
1936,123,10054,3,,,
1936,123,8843,4,,,1
1936,123,10057,5,,,
1936,123,10055,6,,,
1936,123,10056,7,,,
1936,123,8929,8,,,4
1936,123,9125,9,,,2
1936,123,9962,10,,,
1936,123,9876,11,,,
1936,134,9072,1,,,
1936,134,8847,2,,,
1936,134,9968,3,,,
1936,134,9240,4,,,4
1936,134,9838,5,,,
1936,134,8861,6,,,2
1936,134,9124,7,,,1
1936,134,9979,8,,,
1936,134,10058,9,,,
1936,134,9022,10,,,3
1936,134,9188,11,,,
1936,134,9984,12,,,
1936,145,10059,1,,,
1936,145,10060,2,,,
1936,145,9999,3,,,
1936,145,9241,4,,,2
1936,145,9118,5,,,4
1936,145,8867,6,,,
1936,145,10066,7,,,
1936,145,10061,8,,,
1936,145,9193,9,,,1
1936,145,8948,10,,,3
1936,145,10063,11,,,
1936,145,10062,12,,,
1936,158,10045,1,,,
1936,158,9047,2,,,4
1936,158,10064,3,,,
1936,158,10065,4,,,
1936,158,10067,5,,,
1936,158,8949,6,,,3
1936,158,10001,7,,,
1936,158,10005,8,,,
1936,158,8990,9,,,4
1936,158,10009,10,,,
1936,158,10068,11,,,
1936,158,9119,12,,,2
1936,158,10069,13,,,
1936,158,9032,14,,,1
1936,158,10070,15,,,
1936,174,9051,1,,,
1936,174,10028,2,,,
1936,174,10071,3,,,
1936,174,9061,4,,,3
1936,174,10023,5,,,
1936,174,9109,6,,,1
1936,174,9894,7,,,
1936,174,8881,8,,,
1936,174,9244,9,,,4
1936,174,10072,10,,,
1936,174,9143,11,,,2
1936,191,8937,1,,,2
1936,191,10073,2,,,
1936,191,9897,3,,,
1936,191,9255,4,,,4
1936,191,8844,5,,,1
1936,191,9896,6,,,
1936,191,10014,7,,,
1936,191,9168,8,,,3
1936,UNL,9151,1,,,3
1936,UNL,9261,2,,,2
1936,UNL,8999,3,,,1
1937,118,10063,1,,,
1937,118,9874,5,,,
1937,118,10151,7,,,
1937,118,9112,9,,,3
1937,118,9864,11,,,
1937,118,10136,13,,,
1937,118,10154,15,,,
1937,118,9088,17,,,2
1937,118,10155,19,,,
1937,118,10137,21,,,
1937,118,10156,23,,,
1937,118,9171,25,,,1
1937,118,10138,29,,,
1937,126,9111,1,,,
1937,126,10140,5,,,
1937,126,8843,9,,,2
1937,126,10158,11,,,
1937,126,10141,13,,,
1937,126,10157,15,,,
1937,126,8861,17,,,1
1937,126,10159,19,,,
1937,126,9125,21,,,3
1937,126,10175,23,,,
1937,126,9022,25,,,
1937,126,10142,29,,,
1937,135,10143,1,,,
1937,135,10144,5,,,
1937,135,9072,9,,,1
1937,135,9179,11,,,
1937,135,10148,13,,,
1937,135,8847,17,,,3
1937,135,10160,19,,,
1937,135,9838,21,,,
1937,135,9971,25,,,
1937,135,10145,29,,,
1937,145,8850,1,,,
1937,145,10146,5,,,
